date(UTC),海面気圧,地上気圧,東風,西風,気温,相対湿度,降水量,雲量,下行短波放射線フラックス
2022-02-09 00:00:00,102395.8714237117,99134.8620336606,-2.5626912169450002,-0.78287464384,5.05059619039605,44.479359110919,200.0,2.2699999959741035e-06,665.0
2022-02-09 01:00:00,102353.210874037,99099.0822178044,-2.8990826654700004,-0.94189605587,5.617723819639025,43.178900451258,-6.668500020623469e-06,0.14666893000799774,489.7865
2022-02-09 02:00:00,102303.2108749559,99047.7060719596,-2.85015300023,-0.9296636395600001,6.226667310946027,40.763762940458996,-6.668500020623469e-06,0.14666893000799774,617.2965
2022-02-09 03:00:00,102242.6604173531,99001.8345131696,-2.82568816761,-0.532110109485,7.26422338840905,36.958717232561995,200.0,0.19500226114699615,665.0
2022-02-09 04:00:00,102157.79803359159,98919.2657073476,-3.015290620415,-0.08562691417000001,7.19365912117604,38.185781399967,-6.668500020623469e-06,0.4883355811629997,678.694
2022-02-09 05:00:00,102121.1007865596,98883.48589149141,-2.892966457315,0.03669724893,6.934923474655022,41.639909691765,-6.668500020623469e-06,0.2933355900159995,607.846
2022-02-09 06:00:00,102151.376015361,98912.843689117,-2.7828747105250002,0.336391448525,6.302458560937055,47.736239704778995,200.0,1.3666688746199966,665.0
2022-02-09 07:00:00,102216.5136288428,98967.889559665,-2.2446483928850003,0.36697248930000004,6.140422095439021,45.660551720664,-6.668500020623469e-06,32.6666674536,294.7495
2022-02-09 08:00:00,102267.4310590997,99019.2657055098,-1.25993887993,0.43425077900500003,5.291037397264006,50.713303796912996,-6.668500020623469e-06,36.475000614035,101.06549999999993
2022-02-09 09:00:00,102296.7888567253,99029.3574484436,-1.45565754089,0.140672787565,3.89281950949902,63.204128947731,200.0,3.711668768156997,665.0
2022-02-09 10:00:00,102323.8530764114,99059.632677245,-1.584097912145,0.13455657941000002,3.6445378284940375,68.00458745685,-6.668500020623469e-06,16.260001531796,0.0004999999999881766
2022-02-09 11:00:00,102317.4310581808,99059.632677245,-1.50458720613,0.15902141203,3.9869051991430524,70.678899268428,-6.668500020623469e-06,38.91666716985,0.0004999999999881766
2022-02-09 12:00:00,102258.7154629296,99012.84368727921,-1.5779817039900002,-0.09174312232500001,4.773566104222027,70.972477237452,200.0,55.126666433916,665.0
2022-02-09 13:00:00,102212.3851885517,98963.302403786,-1.8409786546550002,-0.44036698716,5.186497742104052,68.901376409103,-6.668500020623469e-06,89.013331562128,0.0004999999999881766
2022-02-09 14:00:00,102177.9815194592,98926.605156754,-2.220183560265,-0.88073397432,5.129000931766029,68.103211305819,-6.668500020623469e-06,91.454998117943,0.0004999999999881766
2022-02-09 15:00:00,102122.4769333233,98867.8895615028,-2.34862393152,-1.1376147168300001,4.580167742176059,72.841743212097,200.0,94.09166466490501,665.0
2022-02-09 16:00:00,102128.440235966,98871.559286206,-2.293578058125,-1.3883792511850002,4.559259811144045,71.176605669039,0.04892299673997513,94.824997964945,0.0004999999999881766
2022-02-09 17:00:00,102093.5778512856,98831.1923144708,-2.10397560532,-2.073394564545,4.402450328404029,71.000000172048,0.2996875310949747,99.99999773,0.0004999999999881766
2022-02-09 18:00:00,101991.7429907718,98734.8620410118,-2.293578058125,-1.914373152515,4.0444020094810185,68.192660843256,200.0,75.293332185016,665.0
2022-02-09 19:00:00,101968.8072113768,98705.5042433862,-2.4036698049150003,-2.16513768687,3.19501731130606,78.912843868398,0.41589548604000015,88.18333159981,0.0004999999999881766
2022-02-09 20:00:00,101998.1650090024,98721.1005733748,-2.134556646095,-2.3119266825900002,2.486761147597008,84.958715167986,0.8256814324250001,99.511664418837,0.0004999999999881766
2022-02-09 21:00:00,102024.3117975127,98749.5409398246,-2.04281352377,-2.2079511439550004,2.2672278717610084,86.190366491157,200.0,80.713331938948,665.0
2022-02-09 22:00:00,101997.2475778266,98719.2657110232,-2.14067285425,-2.195718727645,2.2646143803820564,87.17889855873,0.5321034409849972,95.703331258402,0.7590000000000146
2022-02-09 23:00:00,101955.0457437398,98672.4767210574,-2.4648318864650003,-2.01834869115,2.3508595958890055,87.749999451597,0.7400545182549934,87.206664977484,18.368499999999926
